O*NET-SOC Code,Title,Description,Skill,Skill Importance,Job Zone,Technology_Count,In_Demand_Count,Hot_Technology_Count,NEM Code,BLS Title,Employment 2025,Employment 2035,"Employment change, percent, 2025–35","Occupational openings, 2025–35 annual average",Median Wage
13-1111.00,Management Analysts,"Conduct organizational studies and evaluations, design systems and procedures, conduct work simplification and measurement studies, and prepare operations and procedures manuals to assist management in operating more efficiently and effectively. Includes program analysts and management consultants.",Reading Comprehension,4.12,4,216,11,104,13-1111,      Management analysts,1077.1,1186.3,10.1,94.1,101860
13-1111.00,Management Analysts,"Conduct organizational studies and evaluations, design systems and procedures, conduct work simplification and measurement studies, and prepare operations and procedures manuals to assist management in operating more efficiently and effectively. Includes program analysts and management consultants.",Active Listening,4.12,4,216,11,104,13-1111,      Management analysts,1077.1,1186.3,10.1,94.1,101860
13-1111.00,Management Analysts,"Conduct organizational studies and evaluations, design systems and procedures, conduct work simplification and measurement studies, and prepare operations and procedures manuals to assist management in operating more efficiently and effectively. Includes program analysts and management consultants.",Writing,4.0,4,216,11,104,13-1111,      Management analysts,1077.1,1186.3,10.1,94.1,101860
13-1111.00,Management Analysts,"Conduct organizational studies and evaluations, design systems and procedures, conduct work simplification and measurement studies, and prepare operations and procedures manuals to assist management in operating more efficiently and effectively. Includes program analysts and management consultants.",Speaking,4.0,4,216,11,104,13-1111,      Management analysts,1077.1,1186.3,10.1,94.1,101860
13-1111.00,Management Analysts,"Conduct organizational studies and evaluations, design systems and procedures, conduct work simplification and measurement studies, and prepare operations and procedures manuals to assist management in operating more efficiently and effectively. Includes program analysts and management consultants.",Mathematics,3.0,4,216,11,104,13-1111,      Management analysts,1077.1,1186.3,10.1,94.1,101860
13-1111.00,Management Analysts,"Conduct organizational studies and evaluations, design systems and procedures, conduct work simplification and measurement studies, and prepare operations and procedures manuals to assist management in operating more efficiently and effectively. Includes program analysts and management consultants.",Science,1.88,4,216,11,104,13-1111,      Management analysts,1077.1,1186.3,10.1,94.1,101860
13-1111.00,Management Analysts,"Conduct organizational studies and evaluations, design systems and procedures, conduct work simplification and measurement studies, and prepare operations and procedures manuals to assist management in operating more efficiently and effectively. Includes program analysts and management consultants.",Critical Thinking,4.12,4,216,11,104,13-1111,      Management analysts,1077.1,1186.3,10.1,94.1,101860
13-1111.00,Management Analysts,"Conduct organizational studies and evaluations, design systems and procedures, conduct work simplification and measurement studies, and prepare operations and procedures manuals to assist management in operating more efficiently and effectively. Includes program analysts and management consultants.",Active Learning,3.25,4,216,11,104,13-1111,      Management analysts,1077.1,1186.3,10.1,94.1,101860
13-1111.00,Management Analysts,"Conduct organizational studies and evaluations, design systems and procedures, conduct work simplification and measurement studies, and prepare operations and procedures manuals to assist management in operating more efficiently and effectively. Includes program analysts and management consultants.",Learning Strategies,3.0,4,216,11,104,13-1111,      Management analysts,1077.1,1186.3,10.1,94.1,101860
13-1111.00,Management Analysts,"Conduct organizational studies and evaluations, design systems and procedures, conduct work simplification and measurement studies, and prepare operations and procedures manuals to assist management in operating more efficiently and effectively. Includes program analysts and management consultants.",Monitoring,3.88,4,216,11,104,13-1111,      Management analysts,1077.1,1186.3,10.1,94.1,101860
15-1211.00,Computer Systems Analysts,"Analyze science, engineering, business, and other data processing problems to develop and implement solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions, improve existing computer systems, and review computer system capabilities, workflow, and schedule limitations. May analyze or recommend commercially available software.",Reading Comprehension,3.88,4,311,10,119,15-1211,        Computer systems analysts,544.4,587.2,7.9,32.9,105850
15-1211.00,Computer Systems Analysts,"Analyze science, engineering, business, and other data processing problems to develop and implement solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions, improve existing computer systems, and review computer system capabilities, workflow, and schedule limitations. May analyze or recommend commercially available software.",Active Listening,3.75,4,311,10,119,15-1211,        Computer systems analysts,544.4,587.2,7.9,32.9,105850
15-1211.00,Computer Systems Analysts,"Analyze science, engineering, business, and other data processing problems to develop and implement solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions, improve existing computer systems, and review computer system capabilities, workflow, and schedule limitations. May analyze or recommend commercially available software.",Writing,3.38,4,311,10,119,15-1211,        Computer systems analysts,544.4,587.2,7.9,32.9,105850
15-1211.00,Computer Systems Analysts,"Analyze science, engineering, business, and other data processing problems to develop and implement solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions, improve existing computer systems, and review computer system capabilities, workflow, and schedule limitations. May analyze or recommend commercially available software.",Speaking,4.0,4,311,10,119,15-1211,        Computer systems analysts,544.4,587.2,7.9,32.9,105850
15-1211.00,Computer Systems Analysts,"Analyze science, engineering, business, and other data processing problems to develop and implement solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions, improve existing computer systems, and review computer system capabilities, workflow, and schedule limitations. May analyze or recommend commercially available software.",Mathematics,3.0,4,311,10,119,15-1211,        Computer systems analysts,544.4,587.2,7.9,32.9,105850
15-1211.00,Computer Systems Analysts,"Analyze science, engineering, business, and other data processing problems to develop and implement solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions, improve existing computer systems, and review computer system capabilities, workflow, and schedule limitations. May analyze or recommend commercially available software.",Science,2.25,4,311,10,119,15-1211,        Computer systems analysts,544.4,587.2,7.9,32.9,105850
15-1211.00,Computer Systems Analysts,"Analyze science, engineering, business, and other data processing problems to develop and implement solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions, improve existing computer systems, and review computer system capabilities, workflow, and schedule limitations. May analyze or recommend commercially available software.",Critical Thinking,3.75,4,311,10,119,15-1211,        Computer systems analysts,544.4,587.2,7.9,32.9,105850
15-1211.00,Computer Systems Analysts,"Analyze science, engineering, business, and other data processing problems to develop and implement solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions, improve existing computer systems, and review computer system capabilities, workflow, and schedule limitations. May analyze or recommend commercially available software.",Active Learning,3.62,4,311,10,119,15-1211,        Computer systems analysts,544.4,587.2,7.9,32.9,105850
15-1211.00,Computer Systems Analysts,"Analyze science, engineering, business, and other data processing problems to develop and implement solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions, improve existing computer systems, and review computer system capabilities, workflow, and schedule limitations. May analyze or recommend commercially available software.",Learning Strategies,3.12,4,311,10,119,15-1211,        Computer systems analysts,544.4,587.2,7.9,32.9,105850
15-1211.00,Computer Systems Analysts,"Analyze science, engineering, business, and other data processing problems to develop and implement solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions, improve existing computer systems, and review computer system capabilities, workflow, and schedule limitations. May analyze or recommend commercially available software.",Monitoring,3.38,4,311,10,119,15-1211,        Computer systems analysts,544.4,587.2,7.9,32.9,105850
15-2031.00,Operations Research Analysts,"Formulate and apply mathematical modeling and other optimizing methods to develop and interpret information that assists management with decisionmaking, policy formulation, or other managerial functions. May collect and analyze data and develop decision support software, services, or products. May develop and supply optimal time, cost, or logistics networks for program evaluation, review, or implementation.",Reading Comprehension,4.0,5,114,9,46,15-2031,      Operations research analysts,113.1,126.6,11.9,7.5,88940
15-2031.00,Operations Research Analysts,"Formulate and apply mathematical modeling and other optimizing methods to develop and interpret information that assists management with decisionmaking, policy formulation, or other managerial functions. May collect and analyze data and develop decision support software, services, or products. May develop and supply optimal time, cost, or logistics networks for program evaluation, review, or implementation.",Active Listening,4.0,5,114,9,46,15-2031,      Operations research analysts,113.1,126.6,11.9,7.5,88940
15-2031.00,Operations Research Analysts,"Formulate and apply mathematical modeling and other optimizing methods to develop and interpret information that assists management with decisionmaking, policy formulation, or other managerial functions. May collect and analyze data and develop decision support software, services, or products. May develop and supply optimal time, cost, or logistics networks for program evaluation, review, or implementation.",Writing,4.0,5,114,9,46,15-2031,      Operations research analysts,113.1,126.6,11.9,7.5,88940
